"Bancos","Caja y Bancos en ME / Obligaciones a la Vista ME ( N° de veces)","Caja y Bancos MN / Obligaciones a la Vista MN ( N° de veces )","Creditos Atrasados (criterio SBS)* / Creditos Directos","Creditos Atrasados con mas de 90 dias de atraso / Creditos Directos","Creditos Atrasados ME (criterio SBS)* / Creditos Directos ME","Creditos Atrasados MN (criterio SBS)* / Creditos Directos MN","Creditos Directos / Personal ( S/ Miles )","Creditos Refinanciados y Reestructurados / Creditos Directos","Depositos / Numero de Oficinas ( S/ Miles )","Gastos de Administracion Anualizados / Activo Productivo Promedio","Gastos de Operacion / Margen Financiero Total","Ingresos Financieros / Ingresos Totales","Ingresos Financieros Anualizados / Activo Productivo Promedio","Pasivo Total / Capital Social y Reservas ( N° de veces )","Periodo","Provisiones / Creditos Atrasados","Ratio de Capital Global (al mes anterior)","Ratio de Liquidez ME (Promedio de saldos del mes)","Ratio de Liquidez MN (Promedio de saldos del mes)","Utilidad Neta Anualizada / Activo Promedio","Utilidad Neta Anualizada / Patrimonio Promedio"
"ICBC",2.16,25.77,2.25,2.25,0,9.16,4192,0,201451.89,4.22,176.87,89.08,3.81,2.56,2016-09-30,132.78,37.49,65.78,134.68,-2.36,-10.43
"Interbank",1.68,0.29,2.62,2.38,2.85,2.53,3615,1.17,86889.11,3.39,42.01,86.61,10.72,11.64,2016-09-30,176.97,16.06,54.17,28.29,2.02,22.67
"Mibanco",89.79,18.07,4.57,3.04,17.29,4.26,814,1.13,20853.86,8.57,57.57,98.06,19.95,8.85,2016-09-30,159.37,16.34,37.26,37.25,2.41,19.96
"Pichincha",3.01,1.91,4.18,3.05,5.59,3.53,3586,2.48,62390.95,4.09,60.57,88.96,10.93,11.72,2016-09-30,100.03,12.15,24.79,23.42,0.65,8.28
"Ripley",0,0,1.61,1.28,0,1.61,978,0.4,37536.81,14.81,59.29,89.49,32,6.03,2016-09-30,325,15.39,424.28,31.84,3.33,17.67
"Santander",5.11,0.41,0.92,0.59,1.49,0.49,32516,0.38,3085598.11,1.08,36.27,82.67,4.44,8.43,2016-09-30,220.96,15.95,55.14,44.7,1.29,12.76
"Scotiabank",1.59,0.19,3.32,2.83,4.19,2.85,6864,0.71,149747.8,2.4,37.13,83.07,7.49,9.04,2016-09-30,125.87,14.73,39.09,21.97,2,17.35
"Azteca",2.56,68.95,9.99,8.65,0,9.99,146,0,3025.74,24.78,68.48,95.99,47.59,4.45,2016-10-31,207.35,25.87,85.65,62.5,1.62,10.13
"B. del Comercio",12.37,1.22,3.69,3.33,14.49,2.42,1821,1.4,74574.48,4.33,53.96,90.9,12.03,7.28,2016-10-31,150.97,14.02,80.3,22.17,1.79,14.39
"BBVA",1.21,0.27,2.56,2.18,3.38,2.13,8764,1.87,143422.72,2.12,39.92,82.82,7.2,12.32,2016-10-31,182.71,14.66,38.24,28.62,1.67,20.91
"BCP",0.96,0.21,2.83,2.26,1.86,3.4,3832,0.9,159462.1,3.08,38.34,79.34,8.74,10.18,2016-10-31,146.11,15.56,35.2,35.63,2.37,23.6
"BIF",2.12,0.39,2.64,2.44,4.5,1.74,6023,1.84,90717.78,2.25,44.64,86.27,7.89,15.6,2016-10-31,156.97,13.09,50.65,13.07,0.84,11.86
"Cencosud",0,0,5.67,4.81,0,5.67,607,1.47,7653.62,27.67,70.6,85.71,45.17,2.84,2016-10-31,143.9,20.65,224.97,68,0.86,3.6
"Citibank",0.96,0.08,0,0,0,0,5803,0,4923779.13,2.84,56.38,83.8,6.46,8.36,2016-10-31,0,21.04,86.6,57.19,1.78,11.31
"Falabella",0,0,5.67,5.28,15.61,5.53,1514,2.04,28080.18,10.87,54.59,87.28,24.7,6.8,2016-10-31,162.36,14.93,100.79,41.65,2,14.47
"GNB",2.5,0.66,2.17,1.62,3.58,1.62,6662,0.71,281643.89,2.77,53.37,90.32,8.23,7.55,2016-10-31,160.95,13.79,48.42,24.49,0.98,8.18
"ICBC",1.13,13.42,2.33,2.33,0,9.8,4035,0,189805.92,4.17,183.26,88.95,3.71,2.43,2016-10-31,131.6,39.38,60.57,131.01,-2.47,-11.2
"Interbank",1.42,0.24,2.69,2.49,2.89,2.62,3598,1.17,83734.28,3.4,41.82,86.62,10.8,10.96,2016-10-31,175.5,16.12,54.27,27.21,2.04,22.47
"Mibanco",83.44,15.35,4.55,3.03,17.55,4.25,814,1.14,21288.14,8.51,57.17,98.08,20.05,8.99,2016-10-31,159.66,16.17,38.29,36.36,2.58,21.29
"Pichincha",3.72,3.24,4.18,3.34,6.14,3.3,3527,2.4,65330.02,4.1,60.98,89.18,10.87,12.13,2016-10-31,96.97,12.44,25.33,22.69,0.62,8.03
"Ripley",0,0,1.74,1.39,0,1.74,1004,0.39,38198.64,14.62,58.7,89.53,32,6.02,2016-10-31,299.98,15.21,485.7,28.66,3.38,18.17
"Santander",4.58,0.31,0.73,0.57,1.24,0.38,32780,0.92,3279044.93,1.08,36.87,83.55,4.5,8.84,2016-10-31,274.28,16.54,59.96,36.33,1.29,12.64
"Scotiabank",1.4,0.17,3.47,2.88,4.38,2.99,6767,0.74,145338.69,2.4,37.28,83.09,7.56,8.66,2016-10-31,122.67,14.41,42.14,18.1,2.03,17.43
"Azteca",9.87,40.68,9.58,8.26,0,9.58,0,0,2884.86,25.97,69.86,95.92,48.42,4.28,2016-11-30,208.05,26.6,82.47,62.64,1.65,9.95
"B. del Comercio",15.87,1.71,3.63,3.34,13.9,2.39,1824,1.38,75667.28,4.33,54.2,91.13,12.03,7.42,2016-11-30,155.65,14.02,79.94,22.11,1.78,14.21
"BBVA",1.19,0.28,2.68,2.26,3.43,2.29,8777,1.84,145046.68,2.12,39.67,82.83,7.15,12.45,2016-11-30,176.14,14.54,40.18,29.76,1.68,20.68
"BCP",1,0.21,2.79,2.26,1.89,3.31,3869,0.88,160200.2,2.82,38.41,79.35,8.01,10.25,2016-11-30,148.31,15.7,39.6,31.97,2.39,23.6
"BIF",2.12,0.52,2.61,2.45,4.55,1.67,6137,2.08,91108.99,2.22,44.69,86.3,7.86,15.87,2016-11-30,161.58,13.22,48.84,12.64,0.82,11.6
"Cencosud",0,0,5.14,4.14,0,5.14,595,1.44,8089.86,27.05,69.99,85.58,44.67,2.94,2016-11-30,154.73,20.48,189.34,77.72,0.93,3.98
"Citibank",1.07,0.01,0,0,0,0,6269,0,5039738,2.79,54.58,82.18,6.21,8.44,2016-11-30,0,20.1,99.01,49.68,1.76,11.24
"Falabella",0,0,5.74,5.33,16.62,5.59,1552,2.01,27846.38,10.94,54.45,87.29,24.82,6.86,2016-11-30,161.41,14.9,102.46,48.14,1.9,13.72
"GNB",2.82,0.82,2.25,1.69,3.96,1.6,6728,0.6,285849.93,2.74,53.44,90.35,8.19,7.7,2016-11-30,156.01,14.74,51.03,24.86,0.98,8.15
"ICBC",4.23,30.64,2.4,2.4,0,12.06,3849,0,176427.13,4.23,175.99,88.85,3.77,2.22,2016-11-30,130.84,38.9,52.26,172.29,-2.08,-9.39
"Interbank",1.57,0.24,2.74,2.49,2.96,2.66,0,1.15,84533.52,3.41,42.16,86.61,10.82,11.18,2016-11-30,171.95,15.9,50.45,29.38,2.05,22.31
"Mibanco",76.54,21.05,4.5,2.96,18.28,4.19,827,1.17,20472.57,8.56,56.77,98.02,20.19,8.85,2016-11-30,161.39,15.92,38.22,36.05,2.65,21.73
"Pichincha",4.12,3.33,4.04,3.26,6.27,3.08,3609,2.41,68190,4.13,61.11,89.42,10.9,12.13,2016-11-30,103.46,12.53,24.76,23.44,0.58,7.38
"Ripley",0,0,1.78,1.41,0,1.78,1019,0.36,35938.9,14.42,58.59,89.79,31.98,5.92,2016-11-30,288.1,15.07,537.46,29.78,3.33,18.1
"Santander",3.72,0.99,0.7,0.68,1.34,0.26,31058,1.03,3044376.61,1.07,36.86,83.27,4.43,8.13,2016-11-30,301.72,16.63,58.34,35.71,1.33,12.73
"Scotiabank",1.26,0.21,3.48,2.91,4.61,2.9,6783,0.74,149909.71,2.4,37.37,83.11,7.57,8.72,2016-11-30,123.02,14.49,43.67,18.06,2.05,17.36
"Azteca",9.71,32.91,9.24,8.03,0,9.24,156,0,2814.09,27.73,73.39,95.64,49.33,4.15,2016-12-31,203.07,25.88,80.93,57.14,1.85,10.7
"B. del Comercio",12.98,1.13,3.34,3.26,13.65,2.16,1883,0.9,75010.98,4.4,55.4,90.2,12.07,7.41,2016-12-31,161.83,13.9,79.81,22.15,1.79,14.15
"BBVA",1.16,0.44,2.41,2.13,3.05,2.09,9095,1.81,151285.46,2.1,39.4,82.8,6.98,12.68,2016-12-31,187.46,14.64,42.2,25.49,1.7,20.75
"BCP",0.84,0.2,2.71,2.22,1.71,3.32,3864,0.91,153915.37,2.79,38.81,79.47,8.1,9.84,2016-12-31,154.63,15.54,35.63,31.09,2.41,23.49
"BIF",2.52,0.53,2.5,2.33,4.43,1.63,6145,2.22,90609.2,2.21,44.86,86.21,7.78,16.22,2016-12-31,172.38,13.26,51.12,12.01,0.82,11.57
"Cencosud",0,0,5.61,4.84,0,5.61,623,1.29,7799.58,26.82,70.39,85.34,43.62,2.91,2016-12-31,140.51,20.6,148.4,77.27,0.68,2.95
"Citibank",1.17,0.08,0,0,0,0,5472,0,4975233.58,2.85,48.77,71.18,6.02,8.34,2016-12-31,0,18.42,94.89,54.44,2.29,14.55
"Falabella",0,0,5.71,5.36,17.48,5.57,1591,2.06,28704.53,10.96,55.01,87.16,24.87,6.92,2016-12-31,160.37,14.93,103.19,51.04,1.8,12.94
"GNB",2.89,0.54,2.08,1.67,4,1.43,6570,0.67,276404.87,2.71,53.49,90.07,8.15,7.37,2016-12-31,171.25,14.5,51.74,25.72,1.01,8.26
"ICBC",2.98,21.57,0,0,0,0,3304,0,135560.42,4.2,170.45,85.47,3.44,2.39,2016-12-31,0,38.1,60.92,199.6,-2.03,-9.05
"Interbank",1.62,0.28,2.64,2.48,2.71,2.62,3695,1.13,91585.07,3.41,42.11,86.72,10.67,11.74,2016-12-31,179.76,16.11,57.09,29.22,2.14,22.98
"Mibanco",63.34,16.44,4.46,2.92,18.37,4.17,840,1.19,20279.91,8.52,56.05,97.97,20.33,8.79,2016-12-31,163.06,15.71,37.07,34.95,2.83,22.91
"Pichincha",6.43,2.85,3.98,3.28,6.26,3.14,3480,2.59,65911.96,4.17,62.66,89.74,10.79,11.88,2016-12-31,108.02,12.69,34.23,21.81,0.38,4.83
"Ripley",0,0,2.69,2.36,0,2.69,1070,0.32,36496.35,14.21,59.39,89.68,32.1,6.3,2016-12-31,212.52,15.2,607.67,28.57,3.41,18.73
"Santander",5.07,0.61,0.69,0.66,1.28,0.27,30893,1,3160034.91,1.07,36.94,83.33,4.44,8.24,2016-12-31,310.01,16.99,58.68,32.93,1.32,12.43
"Scotiabank",1.33,0.18,3.08,2.57,3.58,2.84,6611,0.84,143127.04,2.44,37.37,83.11,7.62,8.52,2016-12-31,132.56,14.4,42.8,16.11,2.09,17.4
"Azteca",8.47,34.44,9.4,8.15,0,9.4,161,0,2663.88,28.69,66.54,95.41,50.37,3.98,2017-01-31,205.59,25.88,75.89,53.68,1.86,10.37
"B. del Comercio",11.46,1.49,3.91,3.28,17.58,2.65,1863,0.87,77581.85,4.41,51.89,94.2,12.05,7.54,2017-01-31,142.63,13.9,83.36,18.21,1.83,14.36
"BBVA",1.26,0.32,2.79,2.38,3.59,2.4,8843,1.75,150439.15,2.1,39.44,83.41,7.04,12.4,2017-01-31,169.96,14.64,39.95,32.55,1.7,20.43
"BCP",0.97,0.25,2.77,2.23,1.74,3.41,3889,0.92,160149.37,2.78,33.06,80.1,8.01,10,2017-01-31,148.95,15.54,36.27,32.87,2.44,23.55
"BIF",1.8,0.62,2.57,2.31,4.45,1.73,6162,2.24,91556.98,2.2,47.05,86.94,7.79,15.52,2017-01-31,164.72,13.26,48.64,15.18,0.8,11.3
"Cencosud",0,0,5.81,5.11,0,5.81,621,1.22,7839.1,26.39,66.09,85.29,43.39,2.84,2017-01-31,141.23,20.6,158.09,71.73,0.72,3.16
"Citibank",1.22,0.06,0,0,0,0,5306,0,5679391.43,2.75,58.35,76.82,5.93,9.65,2017-01-31,0,18.42,96.2,62.31,2.2,14.1
"Falabella",0,0,5.98,5.66,18.61,5.84,1582,2.24,28226.23,10.99,56.85,87.92,24.93,6.81,2017-01-31,158.5,14.93,102.01,43.12,1.68,11.99
"GNB",5.65,0.56,2.19,1.89,4.68,1.38,6592,0.74,286050.47,2.69,49.1,91.24,8.14,7.23,2017-01-31,163.02,14.5,50.93,26.42,1,8.13
"ICBC",2.07,4.93,0,0,0,0,3531,0,148890.64,4.23,652.19,94.89,3.48,2.35,2017-01-31,0,38.1,71.65,234.09,-2.21,-9.92
"Interbank",1.58,0.27,2.76,2.54,2.7,2.78,3714,1.09,93834.61,3.4,42.36,87.87,10.62,11.86,2017-01-31,175.32,16.11,60.39,30.19,2.1,22.32
"Mibanco",58.34,43.26,4.4,2.85,18.58,4.12,837,1.2,20760.35,8.57,54.68,96.94,20.47,8.97,2017-01-31,164.6,15.71,34.56,36.98,2.95,23.65
"Pichincha",3.43,2.11,4.35,3.45,7.49,3.25,3460,2.59,63462.49,4.22,63.53,90.36,10.9,11.31,2017-01-31,101.11,12.69,33.46,25.44,0.32,4.11
"Ripley",0,0,2.82,2.48,0,2.82,1063,0.31,35158.9,14.13,50.35,90.76,32.22,5.71,2017-01-31,209.51,15.2,643.01,29.42,3.39,18.74
"Santander",4.2,1.38,0.81,0.67,1.44,0.37,30935,0.95,3097152.5,1.08,40.69,92.65,4.56,7.73,2017-01-31,267.5,16.99,58.31,27.78,1.36,12.45
"Scotiabank",1.08,0.29,3.21,2.65,3.89,2.88,6586,0.86,145995.72,2.46,35.4,84.37,7.63,8.27,2017-01-31,129.25,14.4,40.9,16.35,2.13,17.47
"Azteca",8.28,23.02,9.15,7.85,0,9.15,174,0,2573.21,29.82,69.11,94.61,51.25,3.86,2017-02-28,213.49,24.95,77.67,49.87,1.86,9.94
"B. del Comercio",9,1.28,3.67,3.03,17.98,2.41,1896,0.86,78675.44,4.45,54.22,94.4,12.14,7.59,2017-02-28,146.69,13.12,80.82,20.04,1.84,14.33
"BBVA",1.48,0.25,2.83,2.46,3.5,2.51,8584,1.76,154280.74,2.09,40.28,82.85,7.02,12.56,2017-02-28,171.01,14.7,44.17,34.99,1.71,20.28
"BCP",1,0.24,2.79,2.24,1.73,3.46,3883,0.93,164603.69,2.79,35.9,79.92,7.99,10.12,2017-02-28,145.26,15.59,36.22,35.04,2.41,22.85
"BIF",1.77,0.48,2.63,2.31,4.63,1.75,6103,2.34,87185.96,2.2,50.23,86.53,7.75,15.25,2017-02-28,162.4,13.45,46.52,15.52,0.78,10.93
"Cencosud",0,0,5.36,4.49,0,5.36,607,1.2,7712.72,25.91,66.1,85.36,42.9,2.8,2017-02-28,147.67,20.68,213.38,76.41,0.79,3.49
"Citibank",1.08,0.08,0,0,0,0,5141,0,5194300.54,2.73,57.58,64.64,5.54,8.61,2017-02-28,0,19.94,94.37,74.96,2.09,13.31
"Falabella",0,0,6.11,0,18.81,5.97,0,2.35,28278.1,11.05,55.55,87.2,25.02,6.73,2017-02-28,159.98,15.58,100.72,48.93,1.63,11.61
"GNB",5.59,0.5,2.26,1.97,4.55,1.52,6778,0.69,289662.51,2.67,53.88,91.41,8.12,6.79,2017-02-28,157.7,14.38,49.47,26.57,0.9,7.24
"ICBC",1.44,58.09,0,0,0,0,3701,0,265620.62,4.22,164.05,66.55,3.44,3.05,2017-02-28,0,63.75,76.95,226.77,-2.07,-9.43
"Interbank",1.69,0.28,2.74,2.56,2.65,2.77,3721,1.07,87856.44,3.41,43.94,87.31,10.57,11.31,2017-02-28,174.49,15.76,52.63,30.36,2.1,22.05
"Mibanco",53.72,30.27,4.56,2.89,18.78,4.29,828,1.17,20931.93,8.61,56.54,96.86,20.53,9.09,2017-02-28,162.54,15.45,33.71,36.68,2.9,23.1
"Pichincha",5.05,1.05,4.51,3.48,8.04,3.3,3443,2.64,64019.4,4.26,65.15,90.44,10.86,11.18,2017-02-28,100.47,13.32,32.83,23.76,0.29,3.72
"Ripley",0,0,2.88,2.48,0,2.88,1042,0.3,33691.99,14.02,52.57,90.05,32.17,5.69,2017-02-28,213.64,14.87,552.63,27.66,3.26,18.14
"Santander",6.63,0.91,1.06,0.7,1.35,0.87,28260,0.6,3077036.31,1.1,41.04,86.82,4.63,7.66,2017-02-28,207.05,17.16,56.95,29.49,1.39,12.35
"Scotiabank",0.97,0.32,3.19,2.69,3.71,2.94,6603,0.85,145973.15,2.48,37.97,84.2,7.59,8.26,2017-02-28,131.14,14.2,38.33,19.24,2.13,17.12
"Azteca",24.17,18.7,9.17,7.73,0,9.17,177,0,2454.01,30.9,66.54,93.58,52.41,3.65,2017-03-31,220.97,24.53,76.75,44.12,2.11,10.86
"B. del Comercio",10.45,1.09,3.62,2.97,15.51,2.46,1963,0.82,79483.76,4.44,54.08,94.48,12.24,6.71,2017-03-31,145.83,12.59,79.18,19.69,1.84,14.25
"BBVA",1.12,0.26,2.73,2.45,3.44,2.39,8515,1.85,148717.56,2.07,38.67,82.7,7.01,11.95,2017-03-31,174.77,14.95,44.38,33.71,1.74,20.41
"BCP",1.18,0.2,2.94,2.35,1.78,3.67,3780,0.97,163454.78,2.81,36.95,79.67,8.11,9.19,2017-03-31,143.9,15.46,37.2,37.08,2.44,22.88
"BIF",1.78,0.52,2.66,2.43,4.73,1.73,6089,2.17,91168.61,2.19,49.54,86.17,7.55,15.45,2017-03-31,158.99,13.63,46.02,14.19,0.77,10.73
"Cencosud",0,0,5.33,4.28,0,5.33,585,1.13,7575.73,25.82,67.31,83.81,42.62,2.73,2017-03-31,149.82,21.2,155.25,82.93,0.97,4.3
"Citibank",1.15,0.04,0,0,0,0,5043,0,5068389.19,2.68,47.73,61.88,4.24,7.97,2017-03-31,0,20.12,99.07,67.11,2.45,15.45
"Falabella",0,0,6.32,5.85,19.62,6.19,1556,2.51,28678.32,11.11,53.04,87.54,25.18,6.31,2017-03-31,158.95,15.76,102.58,42.03,1.59,11.19
"GNB",6.01,1.24,2.24,1.95,4.68,1.45,6819,0.66,302479.19,2.66,53.15,91.59,8.09,7.07,2017-03-31,155.97,15.01,48.55,27.84,0.91,7.21
"ICBC",1,1.39,0,0,0,0,4151,0,195791.75,4.37,171.03,74.01,3.88,2.52,2017-03-31,0,60.34,67.34,182.73,-1.46,-6.45
"Interbank",1.59,0.28,2.75,2.57,2.78,2.74,3739,1.11,84802.98,3.46,43.66,86,10.6,9.63,2017-03-31,174.04,15.66,55.35,28.03,2.08,21.58
"Mibanco",66.82,33.13,4.65,2.91,19.03,4.39,836,1.18,21107.78,8.52,54.81,96.61,20.59,9.13,2017-03-31,166.72,15.2,36.12,37.79,2.86,22.84
"Pichincha",3.97,1.27,4.72,3.69,8.01,3.61,3514,3.21,60629.33,4.26,58.65,85.58,10.99,10.93,2017-03-31,102.11,13.72,33.73,20.79,0.3,3.8
"Ripley",0,0,3.09,2.63,0,3.09,1039,0.27,32728.6,14.02,53.1,90.03,32.36,5.73,2017-03-31,206.16,14.8,503.39,29.66,3.14,17.5
"Santander",5.52,1.04,0.7,0.62,1.1,0.36,30449,0.86,3288730.01,1.12,39.38,87.7,4.57,7.57,2017-03-31,299.09,17.41,55.29,30.55,1.4,12.25
"Scotiabank",1.26,0.14,3.07,2.6,3.42,2.9,6956,0.82,155959.55,2.48,37.14,83.9,7.68,8.12,2017-03-31,132.36,14.16,38.13,18.43,2.12,16.93
"Azteca",21.84,12.22,9.38,7.83,0,9.38,178,0,2412.17,32.08,65.75,92.82,53.59,3.58,2017-04-30,223.88,24.15,75.11,41.19,1.94,9.69
"B. del Comercio",9.71,1.33,3.79,3.54,17.09,2.59,1971,0.78,80921.73,4.42,53.97,94.42,12.24,6.78,2017-04-30,141.37,12.59,77.77,19.46,1.82,13.98
"BBVA",1.13,0.29,2.97,2.6,3.62,2.65,8390,1.9,149146.68,2.06,38.78,83.08,7.03,11.91,2017-04-30,167.91,14.98,43.36,34.15,1.74,20.23
"BCP",1.1,0.19,2.89,2.34,1.86,3.54,3800,0.96,163788.98,2.81,37.48,79.38,8.12,9.18,2017-04-30,146.79,16.73,36.51,38.37,2.45,22.81
"BIF",2,0.38,2.59,2.45,4.44,1.75,6127,2.16,93035.74,2.21,50.04,86.19,7.45,14.44,2017-04-30,162.49,13.3,45.06,14.07,0.77,10.69
"Cencosud",0,0,5.83,4.69,0,5.83,577,1.11,7326.07,25.67,69.32,82.39,42.35,2.67,2017-04-30,143.57,21.37,138.62,91.37,1.14,5.07
"Citibank",1.17,0.07,0,0,0,0,5104,0,4734751.91,2.65,48.07,64.75,3.13,5.03,2017-04-30,0,20.84,103.41,67.85,2.45,15.2
"Falabella",0,0,6.4,5.89,20.75,6.27,1579,2.64,31817.78,11.18,53,87.31,25.31,6.39,2017-04-30,160.52,16.16,100.69,38.5,1.55,10.84
"GNB",6.35,0.38,2.37,2,4.61,1.67,6668,0.64,300112.42,2.65,53.63,91.61,8.09,6.9,2017-04-30,150.98,14.89,47.33,28.55,0.89,7
"ICBC",3.09,5.61,0,0,0,0,5187,0,360402.77,4.19,178.98,77.51,3.64,4.13,2017-04-30,0,57.92,52.55,159.69,-1.35,-6.33
"Interbank",1.64,0.24,2.75,2.55,2.81,2.73,3821,1.09,86862.8,3.46,42.99,86.39,10.49,9.62,2017-04-30,172.21,17.1,53.48,25.6,2.07,21.28
"Mibanco",76.48,44.75,4.7,2.91,19.46,4.44,848,1.24,20786.49,8.52,54.98,96.71,20.61,9.06,2017-04-30,165.75,16.45,43.37,38.2,2.87,22.97
"Pichincha",3.83,1.35,4.71,3.87,8.17,3.54,3553,2.82,61371.6,4.28,59.96,86.88,11.04,10.95,2017-04-30,103.43,13.67,33.71,17.95,0.3,3.77
"Ripley",0,0,3.33,2.92,0,3.33,1039,0.28,32928.52,13.99,54.34,89.89,32.32,5.59,2017-04-30,195.23,14.75,517.85,28.07,3.02,16.89
"Santander",5.04,1.1,0.64,0.6,1.08,0.25,31266,0.81,3242168.36,1.09,37.99,88.27,4.56,7.75,2017-04-30,316.48,17.02,55.27,22.38,1.35,11.7
"Scotiabank",1.49,0.13,3.15,2.67,3.44,3.01,7052,0.81,156011.68,2.47,37.43,84,7.61,8.16,2017-04-30,131,14.13,39.07,17.87,2.12,16.73
"Azteca",26.35,22.54,9.63,8.14,0,9.63,170,0,2360.66,33.34,66.17,92.69,54.73,3.51,2017-05-31,221.89,24.15,77.22,39.81,1.79,8.66
"B. del Comercio",9.38,1.65,3.72,3.59,15.42,2.61,1974,1.47,81743.86,4.39,53.42,94.22,12.27,6.95,2017-05-31,145.66,12.59,79.1,20.82,1.82,13.86
"BBVA",1.25,0.22,3.09,2.75,3.71,2.78,8514,1.91,151703.28,2.05,38.17,82.81,7.1,12.06,2017-05-31,164.24,14.98,40.82,36.08,1.76,20.23
"BCP",1.14,0.21,2.91,2.46,1.85,3.62,3792,0.98,166645.57,2.82,37.96,79.04,8.05,9.23,2017-05-31,147.88,16.73,36.81,39.28,2.4,22.12
"BIF",1.83,0.31,2.7,2.55,4.29,1.96,6227,2.16,97740.17,2.21,49.78,86.01,7.39,15.07,2017-05-31,154.16,13.3,46.9,17.58,0.76,10.53
"Cencosud",0,0,6.41,5.54,0,6.41,580,1.02,7553.58,25.14,69.3,82.95,42.05,2.7,2017-05-31,130.44,21.37,181.35,98.42,1.34,5.89
"Citibank",1.28,0.01,1.82,0,4,0.97,4786,0,4531028.18,2.68,46.06,66.38,4.26,4.58,2017-05-31,57.67,20.84,107.32,62.97,2.43,14.84
"Falabella",0,0,6.73,6.32,21.45,6.6,1612,2.59,35759.05,11.16,52.91,87.29,25.35,6.6,2017-05-31,153.85,16.16,102.3,43.43,1.57,10.85
"GNB",5.16,0.42,2.43,1.99,4.4,1.8,6864,0.79,313691.49,2.61,53.13,91.6,8.03,7.17,2017-05-31,142.4,14.89,50.71,28.38,0.87,6.89
"ICBC",3.21,37.41,0,0,0,0,4799,0,220313.26,4.21,141.76,81.95,4.02,2.84,2017-05-31,0,57.92,58.39,171.7,-1.26,-5.98
"Interbank",1.92,0.2,2.86,2.65,2.73,2.91,3864,1.05,90139.01,3.46,42.89,86.29,10.73,9.8,2017-05-31,167.95,17.1,57.83,26.7,2.09,21.25
"Mibanco",37.89,37.2,4.68,3,19.55,4.43,858,1.28,21639.91,8.46,53.97,96.7,20.71,8.94,2017-05-31,169.8,16.45,44.71,33.31,2.92,23.4
"Pichincha",4.2,1.05,4.56,4.06,7.64,3.51,3554,3.21,61427.41,4.29,59.5,87.78,11.11,10.59,2017-05-31,108.49,13.67,31.75,19.7,0.26,3.22
"Ripley",0,0,3.13,2.79,0,3.13,1065,0.36,34854.8,13.91,54.68,89.82,32.37,5.82,2017-05-31,201.77,14.75,541.84,29.04,3.04,17.07
"Santander",4.41,0.32,0.65,0.63,1.08,0.26,30798,0.79,3576870.94,1.09,37.34,87.21,4.57,7.96,2017-05-31,313.98,17.02,52.55,25.17,1.34,11.47
"Scotiabank",1.13,0.23,3.27,2.79,3.54,3.13,7083,0.79,154689.46,2.47,36.99,83.94,7.84,7.95,2017-05-31,129.99,14.13,37.4,18.85,2.13,16.66
"Azteca",44.48,15.46,9.58,8.1,0,9.58,172,0,2310.75,34.63,67.17,93.26,55.83,3.46,2017-06-30,221.33,24.28,68.09,40.61,1.49,6.99
"B. del Comercio",8.68,1.99,3.12,2.99,11.69,2.34,1960,1.47,82900.87,4.38,53.52,94.22,12.31,7.1,2017-06-30,156.05,12.42,72.05,28.5,1.79,13.59
"BBVA",1.19,0.33,2.92,2.67,3.51,2.63,8571,1.98,145315.3,2.05,38.45,82.65,7.13,10.56,2017-06-30,171.2,15.19,40.25,31.28,1.74,19.77
"BCP",1.27,0.22,2.9,2.43,1.77,3.65,3696,1.02,167519.19,2.83,38.48,79.05,7.97,9.16,2017-06-30,149.68,16.69,39.64,39.3,2.45,22.37
"BIF",2.12,0.37,2.85,2.67,4.67,2,6249,2.07,98902.39,2.22,49.58,85.89,7.26,15,2017-06-30,148.42,13.05,44.92,18.73,0.75,10.39
"Cencosud",0,0,5.77,4.86,0,5.77,574,1.01,7235.42,25.1,70.43,83.13,41.74,2.62,2017-06-30,143,22.28,174.04,89.58,1.33,5.82
"Citibank",1.42,0.04,1.15,0,4.23,0,4993,0,4094703.43,2.68,46.05,67.83,4.7,4.23,2017-06-30,93.84,29.81,112.83,55.62,2.57,15.38
"Falabella",0,0,7.02,6.59,22.49,6.89,1599,2.65,35026.57,11.24,52.69,87.09,25.55,6.29,2017-06-30,152.69,16.3,106.41,47.36,1.58,10.79
"GNB",7.36,0.29,2.35,2.01,4,1.81,6797,0.78,315302.02,2.55,51.96,91.63,8,7.22,2017-06-30,152.14,14.3,47.4,30.12,0.86,6.85
"ICBC",1.78,55.07,0,0,0,0,4129,0,177774.77,4.27,50.85,41.1,4.22,2.4,2017-06-30,0,54.27,52.3,189.15,1.59,7.53
"Interbank",2.15,0.28,2.81,2.59,2.73,2.84,3858,1.03,89643.74,3.48,43.26,86.34,10.67,9.93,2017-06-30,172.02,16.81,60.73,25.46,2.1,21.16
"Mibanco",60.35,20.75,4.61,2.91,19.7,4.37,857,1.3,21516.96,8.46,53.79,96.41,20.74,8.92,2017-06-30,175.09,16.34,46.07,32.53,2.98,23.88
"Pichincha",3.01,2.7,4.51,4.02,7.62,3.45,3615,3.24,65369.34,4.29,59.37,87.93,11.18,10.6,2017-06-30,111.39,13.08,31.75,22.02,0.28,3.4
"Ripley",0,0,2.8,2.46,0,2.8,1073,0.45,36633.7,13.88,55.49,89.6,32.41,5.94,2017-06-30,219.05,14.62,544.2,28.03,2.97,16.73
